,gene
532,yccS
533,helD
534,hspQ
535,rlmI
536,yccX
537,tusE
539,tssA
540,moeB
541,moeA
542,darE
543,darD
544,darC
545,darB
546,fghA
547,folE
548,mglB
549,mglA
550,mglC
551,sanA
552,cdd
553,metG
554,apbC
555,udk
556,dcd
557,asmA
558,fhuF
559,galU
560,gndA
561,hisF
562,hisA
563,hisH
564,hisB
565,hisC
566,hisD
567,hisG
568,hisL
569,sbcB
570,lldD
571,argG
572,dusC
573,pbpG
574,dld
575,cyaB
576,phnC
577,phnD
578,phnE
579,urtA
580,urtB
581,urtC
582,urtD
583,urtE
584,sseA
585,adiC
586,yedA
587,ompF2
588,dinG
589,tyrP
590,eco
591,nrdB
592,nrdA
593,gyrA
594,rcsC
595,rcsB
596,rcsD
597,ampH
598,ycoA
599,yejK
600,rplY
601,rsuA
602,yejF
603,mepS
604,uxuA
605,yeiP
606,mtr
607,xylB
609,fruK
610,fruA
611,psaA
612,psaC
613,nfo
615,gpmA
616,galM
617,galK
618,galT
619,galE
620,modF
621,modE
622,modA
623,modB
624,modC
625,pgl
626,bioA
627,bioB
628,bioF
629,bioC
630,bioD
631,uvrB
632,yvcK
633,moaA
634,moaC
635,moaD
636,moaE
644,mtfA
647,cspE
648,pgeF
666,flhB
668,inv
669,flgM
670,flgA
671,flgB
672,flgC
673,flgD
676,flgG
677,flgH
678,flgJ
679,flgK
680,flgL
682,fliQ
683,fliP
685,fliN
688,fliJ
689,fliI
690,fliH
691,fliG
692,fliF
693,fliE
694,fliT
695,fliS
696,fliD
697,fliZ
698,tcyJ
699,tcyL
700,yecC
701,putA
702,putP
703,efeB
704,wrbA
705,cycA
706,uvrY
707,uvrC
708,pgsA
720,nqrE
734,hutG
736,ychF
737,pth
738,ychH
740,ispE
741,lolB
742,hemA
743,prfA
744,prmC
745,kdsA
746,dauA
747,mdtH
748,rimJ
749,murJ
750,argS
751,cutC
752,cmoB
753,cmoA
754,aspS
755,nudB
756,ruvC
757,ruvA
758,ruvB
759,znuB
760,znuC
761,znuA
762,mepM
763,lpxM
764,pyk
765,zwf
766,mdtJ
767,mdtI
768,tsaB
769,fadD
770,rnd
771,minE
772,minD
773,minC
774,dsbB
775,nhaB
776,fadR
777,yeaG
778,gapA
779,msrB
780,pncA
781,ansA
782,sppA
783,selD
784,xthA
785,purU
786,rssB
787,hns
788,adhE
789,oppA
790,oppB
791,oppC
793,cls
794,tonB
795,yciA
796,ompW
797,trpA
798,trpB
799,trpCF
800,trpD
801,trpL
802,rluB
803,cobO
804,sohB
805,topA
806,cysB
807,acnA
808,ribA
809,pgpB
810,lapB
811,pyrF
812,yciH
813,osmB
814,araD
815,fsa
816,nth
817,rsxG
818,rsxD
819,rsxC
820,rsxB
821,rsxA
822,araA
824,araC
825,manA
826,fumC
827,ivbL
828,ilvB
829,yjjG
830,phoA
831,ogt
832,uspE
833,pntB
834,pntA
835,rstA
836,rstB
838,hrpA
839,azoR
840,hslJ
841,nifJ
842,ttcA
843,zntB
844,mpaA
845,ycjG
846,tpx
847,tyrR
848,pspD
849,pspC
850,pspB
851,pspA
852,pspF
853,sapA
854,sapB
855,sapC
856,sapD
857,sapF
858,dtpA
859,pdxY
860,tyrS
861,pdxH
862,anmK
863,rovA
864,eptA
865,gloA
866,rnt
867,sodB
868,ynhF
870,cfa
871,pykF
872,sufE
873,sufS
874,sufD
875,sufC
876,sufB
877,sufA
878,ydiK
879,ppsA
880,arnF
881,arnE
882,arnT
883,arnA
884,arnC
885,arnB
886,btuD
887,btuC
888,ihfA
889,pheT
890,pheS
891,pheM
892,rplT
893,rpmI
894,infC
895,thrS
896,yfeA
897,yfeB
898,yfeC
899,yfeD
900,hxpB
901,kduI
902,kdgR
904,htpX
905,prc
906,proQ
907,yebS
908,cheZ
909,cheY
910,cheR
911,yapJ
912,cheW
913,cheA
914,motB
915,motA
916,flhC
917,flhD
918,mgtA
919,dsrB
920,ydfZ
921,icd
922,rluE
923,mnmA
924,hflD
925,purB
926,phoP
927,phoQ
928,pepT
929,cobB
930,nagK
931,lolE
932,lolD
933,lolC
934,mfd
935,nagZ
936,thiK
937,lpoB
938,hinT
939,ptsG
940,holB
941,mltG
942,pabC
943,fabF
944,acpP
945,fabG
946,fabD
947,plsX
948,rpmF
949,yceD
950,rluC
951,rne
952,pyrC
953,dinI
954,bssS
955,solA
956,fae
957,cas6f
958,csy3
959,csy2
960,csy1
961,cas3f
962,cas1f
963,ugpC
964,cdiA
965,rhtA
966,tam
967,dps
968,glnH
969,glnP
970,glnQ
971,rlmF
972,ybiB
973,menE
974,menC
975,menB
976,menH
977,menD
978,menF
979,idnO
980,nuoN
981,nuoM
982,nuoL
983,nuoK
984,nuoJ
985,nuoI
986,nuoH
987,nuoG
988,nuoF
989,nuoE
990,nuoC
991,lrhA
992,yfbR
993,ackA
994,pta
995,yfcD
996,yfcE
997,hisP
999,hisJ
1000,purF
1001,cvpA
1002,dedD
1003,folC
1004,accD
1005,truA
1006,pdxB
1007,fabB
1008,mnmC
1009,mepA
1010,aroC
1011,prmB
1012,smrB
1013,sixA
1014,fadJ
1015,fadI
1016,fadL
1017,mlaA
1018,ccmI
1019,ccmE
1020,ccmD
1021,ccmB
1022,ccmA
1023,tssL
1024,mltB
1025,dmsB
1026,alaC
1027,glk
1028,gltX
1029,ligA
1030,zipA
1031,cysZ
1032,cysK
1033,ptsH
1034,ptsI
1035,crr
1036,cysM
1037,cysA
1038,cysW
1039,cysT
1040,yapL
1041,hemF
1042,maeB
1043,napC
1044,napB
1045,napA
1046,napD
1047,napF
1048,acrD
1049,dapE
1050,purC
1051,bamC
1052,dapA
1053,bcp
1054,arsC
1055,hda
1056,upp
1057,purM
1058,purN
1059,speG
1060,pstB
1061,pstA
1062,ppk1
1063,ppx
1064,mgtE
1065,yegD
1066,mdtC
1067,baeS
1068,baeR
1069,yegS
1070,thiD
1071,guaA
1072,guaB
1073,xseA
1074,der
1075,bamB
1076,hisS
1077,ispG
1078,rodZ
1079,pilW
1080,ndk
1082,sseB
1083,pepB
1084,iscX
1085,fdx
1086,hscA
1087,hscB
1088,iscA
1089,iscU
1090,iscR
1091,trmJ
1092,suhB
1093,csiE
1094,ail
1095,hmpA
1096,glnB
1097,glrR
1098,qseG
1099,purL
1100,mltF
1101,tadA
1102,yfhb
1103,murQ
1104,pdxJ
1105,proX
1106,proW
1107,proV
1108,nrdF
1109,nrdE
1110,nrdI
1111,ureE
1112,ureG
1113,yut
1114,hdeB
1115,kch
1116,crcB
1117,chbC
1118,chbA
1119,chbR
1120,chbG
1121,seqA
1122,pgm
1123,kdpE
1125,kdpC
1126,kdpB
1127,kdpA
1128,phrB
1129,pxpB
1130,pxpA
1131,pcp
1132,ung
1133,grcA
1134,srmB
1135,nadB
1136,rpoE
1137,rseA
1138,rseB
1139,rseC
1140,lepA
1141,lepB
1142,rnc
1143,recO
1144,ybfF
1145,ybfE
1146,fldA
1147,fur
1148,glnS
1149,nagB
1150,asnB
1151,ubiF
1152,miaB
1153,ybeY
1154,corC
1155,lnt
1156,gltK
1157,leuS
1158,lptE
1159,holA
1160,nadD
1161,rsfS
1162,rlmH
1163,mrdA
1164,mrdB
1165,rlpA
1166,dacA
1167,lipB
1168,lipA
1169,tatA
1170,iolB
1171,iolE
1172,iolC
1173,iolG
1174,iolD
1175,pbpC
1176,yapC
1177,folD
1178,ybcJ
1180,ppiB
1181,purE
1182,purK
1183,tesA
1184,cueR
1185,copA
1186,ybaK
1187,fepE
1188,cpsG
1189,gmd
1190,wzy
1191,rfbH
1192,rfbG
1193,rfbF
1194,hemH
1195,adk
1196,htpG
1197,recR
1198,dnaX
1199,apt
1200,rsmS
1201,acrR
1202,rpmJ
1203,tomB
1204,tesB
1205,amtB
1206,glnK
1207,cof
1208,queC
1209,ppiD
1210,hupB
1211,lon
1212,clpX
1213,clpP
1214,tig
1215,bolA
1216,ampG
1217,cyoA
1218,cyoB
1219,cyoE
1220,panE
1221,yajL
1222,thiI
1223,xseB
1224,ispA
1225,dxs
1226,pgpA
1227,thiL
1228,nusB
1229,ribE
1230,ribD
1231,nrdR
1232,secF
1233,secD
1234,yajC
1235,tgt
1236,queA
1237,ggt
1238,malZ
1239,proY
1240,brnQ
1241,phoR
1243,sbcD
1244,mak
1245,rdgC
1246,ppnP
1247,aroL
1248,proA
1249,proB
1250,frsA
1251,gpt
1252,pepD
1253,dinB
1254,nqrM
1255,nqrF
1256,lpcA
1257,hpxX
1258,hpxZ
1259,ygaH
1260,mprA
1261,emrA
1262,emrB
1263,trxC
1264,pssA
1265,clpB
1266,rluD
1267,bamD
1268,raiA
1269,cobA
1270,cysD
1271,cysN
1272,cysC
1273,ftsB
1274,ispD
1275,ispF
1276,truD
1277,surE
1278,nlpD
1279,rpoS
1280,mutS
1281,rpiB
1282,dhaL
1283,arsB
1285,dmsD
1286,cybB
1287,katG
1288,pncC
1289,recA
1290,recX
1291,alaS
1293,yqaB
1294,gshA
1295,luxS
1296,ffh
1297,rpsP
1298,rimM
1299,trmD
1300,rplS
1301,yehT
1302,tyrA
1303,cysI
1304,cysJ
1305,queD
1306,queE
1307,eno
1308,pyrG
1309,mazG
1310,relA
1311,barA
1312,degP
1313,dgt
1314,mtnN
1315,btuF
1316,erpA
1317,clcA
1318,hemL
1319,fhuB
1320,fhuD
1321,fhuC
1322,mrcB
1323,hrpB
1324,thpR
1325,sfsA
1326,dksA
1327,gluQRS
1328,pcnB
1329,folK
1330,panB
1331,panC
1332,panD
1333,can
1334,hpt
1335,cueO
1336,speE
1337,speD
1339,acnB
1340,lpdA
1341,aceF
1342,aceE
1343,pdhR
1344,ampE
1345,ampD
1346,nadC
1347,ppdD
1348,hofC
1349,coaE
1350,zapD
1351,yacG
1352,lptG
1353,lptF
1354,pepA
1355,rraB
1356,argF
1357,nrdD
1358,nrdG
1359,phnF
1361,phnH
1362,phnK
1363,phnL
1364,phnM
1365,phnN
1366,phnP
1367,yrbN
1368,nlpI
1369,pnp
1371,ibpB
1372,ghrB
1373,glyQ
1374,glyS
1375,sodA
1376,fdhD
1377,fdnG
1378,fdxH
1379,fdoI
1380,fdhE
1381,selB
1383,fepB
1384,exbD
1385,exbB
1386,metC
1387,yqhD
1388,dkgA
1389,ftsP
1390,parC
1391,parE
1392,yqiA
1393,cpdA
1394,nudF
1395,tolC
1396,ygiD
1397,ribB
1398,yjeH
1399,hldE
1400,glnE
1401,bacA
1402,folB
1403,plsY
1404,tsaD
1405,rpsU
1406,dnaG
1407,rpoD
1408,mdtN
1409,yapF
1411,rlmG
1412,yapG
1413,sstT
1414,uxaC
1415,exuR
1416,mzrA
1417,aroE
1418,tsaC
1419,dprA
1420,def
1421,fmt
1422,rsmB
1423,trkA
1424,mscL
1425,zntR
1426,rplQ
1427,rpoA
1428,rpsD
1429,rpsK
1430,rpsM
1431,secY
1432,rplO
1433,rpmD
1434,rpsE
1435,rplR
1436,rplF
1437,rpsH
1438,rpsN
1439,rplE
1440,rplX
1441,rplN
1442,rpsQ
1443,rpmC
1444,rplP
1445,rpsC
1446,rplV
1447,rpsS
1448,rplB
1449,rplW
1450,rplD
1451,rplC
1452,rpsJ
1453,bfr
1454,bfd
1455,fusA
1456,rpsG
1457,rpsL
1458,tusB
1459,tusC
1460,tusD
1461,fkpA
1462,slyD
1463,kefB
1464,kefG
1465,tauD
1466,tauC
1467,tauB
1468,tauA
1469,crp
1470,ppiA
1471,tsgA
1472,nirD
1473,nirC
1474,trpS
1475,rpe
1476,dam
1477,aroB
1478,aroK
1479,hofQ
1480,mrcA
1481,nudE
1482,yrfG
1483,hslR
1484,hslO
1485,pckA
1486,envZ
1487,ompR
1488,greB
1489,feoA
1490,feoB
1491,bioH
1492,gntX
1493,nfuA
1494,malQ
1495,malP
1496,malT
1497,glpE
1498,glpG
1504,coaA
1505,birA
1506,murB
1507,hemG
1508,trkH
1509,pepQ
1510,fadB
1511,fadA
1512,fre
1513,ubiD
1514,rfaH
1515,hemB
1516,zapB
1517,glpK
1518,glpX
1519,fpr
1520,tpiA
1522,fieF
1523,cpxR
1524,cpxA
1526,trmL
1527,cysE
1528,gpsA
1529,secB
1530,grxC
1531,gpmM
1532,envC
1533,tdh
1534,rfaD
1535,rfaF
1536,rfaC
1537,waaA
1538,coaD
1539,mutM
1540,rpmG
1541,rpmB
1543,coaBC
1544,dut
1545,slmA
1546,pyrE
1547,rph
1548,ligB
1549,gmk
1550,rpoZ
1551,spoT
1552,trmH
1553,recG
1554,gltS
1555,fabY
1556,dtd
1557,yihX
1558,typA
1559,glnA
1560,glnL
1561,glnG
1562,hemN
1563,yihI
1564,polA
1565,dsbA
1566,mobA
1567,mobB
1569,rbsK
1570,kup
1572,viaA
1573,asnC
1574,mioC
1575,mnmG
1576,rsmG
1577,atpI
1578,atpB
1579,atpE
1580,atpF
1581,atpH
1582,atpA
1583,atpG
1584,atpD
1585,atpC
1586,glmU
1587,glmS
1588,pstS
1589,pstC
1590,phoU
1591,yieH
1592,mnmE
1593,yidC
1594,yidD
1595,rnpA
1596,rpmH
1597,dnaA
1598,dnaN
1599,recF
1600,gyrB
1601,yidA
1608,rluA
1609,djlA
1610,lptD
1611,surA
1612,pdxA
1613,rsmA
1614,apaG
1615,apaH
1616,folA
1617,carB
1619,dapB
1620,ispH
1621,fkpB
1622,lspA
1623,ileS
1624,ribF
1625,rpsT
1626,nhaR
1627,nhaA
1628,dnaJ
1629,dnaK
1630,satP
1631,mog
1632,tal
1633,yaaA
1634,thrC
1635,thrB
1636,thrA
1637,thrL
1638,arcA
1639,creA
1640,robA
1641,gpmB
1642,yjjX
1643,trpR
1644,sltY
1645,actP
1646,acs
1647,gltP
1654,yedE
1655,yedF
1656,hutX
1657,yapK
1658,ubiC
1659,ubiA
1660,plsB
1661,lexA
1662,zur
1663,dusA
1664,pspG
1665,dnaB
1666,alr
1667,uvrA
1668,ssb1
1669,rhaM
1670,rhaD
1671,rhaB
1672,rhaS
1673,rhaR
1674,rhaT
